Condition,BriefSummary
sepsis,"Sepsis is the leading cause of death in intensive care units and a major public health concern in the world. Heparin, a widely used anticoagulant medicine to prevent or treat thrombotic disorders, has been demonstrated to prevent organ damage and lethality in experimental sepsis models. However, the efficacy of heparin in the treatment of clinical sepsis is not consistent. Caspase-11, a cytosolic receptor of LPS, triggers lethal immune responses in sepsis. Recently, we have revealed that heparin prevents cytosolic delivery of LPS and caspase-11 activation in sepsis through inhibiting the heparanase-mediated glycocalyx degradation and the HMGB1- LPS interaction, which is independent of its anticoagulant properties. In our study, it is found that heparin treatment could prevent lethal responses in endotoxemia or Gram-negative sepsis, while caspase-11 deficiency or heparin treatment failed to confer protection against sepsis caused by Staphylococcus aureus, a type of Gram-positive bacterium. It is probably that other pathogens such as Gram-positive bacteria might cause death through mechanisms distinct from that of Gram-negative bacteria. Peptidoglycan, a cell-wall component of Gram-positive bacteria, can cause DIC and impair survival in primates by activating both extrinsic and intrinsic coagulation pathways, which might not be targeted by heparin. We speculate that the discrepancy between the previous clinical trials of heparin might be due to the difference in infected pathogens. Thus, stratification of patients based on the type of invading pathogens might improve the therapeutic efficiency of heparin in sepsis, and this merits future investigations."
sepsis,"The study aims to compare the efficacy, safety and pharmacokinetics (PK) of an optimised dosing to a standard dosing regimen of vancomycin in neonates and infants aged ≤ 90 days with late onset bacterial sepsis known or suspected to be caused by Gram-positive microorganisms"
sepsis,"Bacterial infections can progress to a life-threatening illness called septic shock, characterized by low blood pressure and vital organ damage. The syndrome is thought to be caused by parts of the bacteria and by the body s own immune response to the infection. A major bacterial product that interacts with the immune defenses is called endotoxin. This study will examine the body s response to endotoxin in the lungs or bloodstream. When endotoxin is given in small amounts to humans, even though it is not an infection, it triggers a set of responses that are typical of what one would see with a true bacterial infection. This allows us to study the earliest changes in molecules and cells that are involved in some bacterial infections. This type of model is safe and has been used in humans for many years to understand the body s responses during infections.||Normal volunteers 18 to 45 years of age may be eligible for this study. Candidates will have a history and physical examination, blood and urine tests, electrocardiogram (EKG) and chest X-ray. In addition, volunteers 40 to 45 years old will have an exercise stress test to screen for asymptomatic coronary artery disease. Participants will undergo one or more of the following procedures:||Bronchoscopy, Bronchoalveolar Lavage, Bronchial Brushings, and Endobronchial Mucosal Biopsies: These techniques for examining lung function are used routinely in patient care and clinical research. The mouth and nasal and lung airways are numbed with an anesthetic. A bronchoscope (pencil-thin flexible tube) is then passed through the nose into the large airways of the lung. Cells and secretions from the airways are rinsed with salt water (bronchoalveolar lavage) and a flexible brush the size of a pencil tip is passed through the bronchoscope to scrape cells lining the airways. Lastly, pieces of tissue (the size of the ball of a ballpoint pen) lining the airways are removed for examination under the microscope.||Intravenous Endotoxin: A small dose of endotoxin is injected into a vein. Blood samples are drawn at regular intervals for 8 hours after the injection and again after 1, 2, 3, 7 and 14 days to analyze the body s immune response to the bacteria in the blood.||Instilled Endotoxin in the Lungs: A small amount (2 teaspoons) of salt water is squirted through a bronchoscope into a lobe of one lung, and then salt water containing a small dose of endotoxin is squirted into the other lung. Bronchial lavage, brushing, and biopsy (see above) are then done to study the response of the lung to the endotoxin. In addition, air is withdrawn through the bronchoscope to study air components from the lung that was instilled with salt water or endotoxin.||Nitric Oxide Therapy: Endotoxin is instilled in a lung (see above) and then nitric oxide a colorless, odorless, tasteless gas mixed with room air in a concentration of 40 parts per million, is given through a cushioned mask placed over the mouth and nose. (Some participants will be given the nitric oxide mixture and others will breathe only room air through the mask to test the effects of the nitric oxide on the lung inflammation.) The mask will be worn continuously for 6 hours and removed before repeat bronchoscopy with lavage, brushing and biopsy.||Some of the above procedures require placement of a catheter (thin plastic tube) in a wrist artery to monitor blood pressure from heartbeat to heartbeat and to collect blood samples. First, the skin is numbed with an anesthetic (lidocaine). A needle is then inserted into the artery, the catheter is slipped over the needle into the vessel, and the needle is removed."
sepsis,"The purpose of this study is to evaluate whether use of the disinfectant chlorhexidine administered to the birth canal during labour and newborn at delivery can protect a woman and her baby from bacterial infections after birth. If effective, this could be used as an inexpensive alternative to antibiotics to prevent newborn infections in resource-poor countries."
sepsis,"The performance and clinical impact of two diagnostic systems will be evaluated using whole blood samples that are collected in parallel with samples for blood culture. As the rapid diagnostic systems will have the largest impact on severely ill patients (in need of a fast diagnosis) with bacterial infection, the evaluation will be performed in patients suspected of bacteraemia. During the study the new systems will be used in parallel with routine blood cultures. In alternating periods of 1 month, the results of the diagnostic system will be communicated to treating physicians (intervention) or not revealed (control). Blood culture results will be reported throughout the complete study period. Patients with suspected sepsis at the Emergency Department (ED), the department of infectious diseases/nephrology, and the department of haemodialysis will be included. In routine care, two blood culture sets (2x2 bottles) per patient are collected. One extra blood sample (EDTA tube, 9 ml of blood) will be sampled for each routine set of blood cultures. In addition, the clinical data of the patients will be collected. The samples will be sent to the clinical laboratory where samples are tested with the new systems during regular working hours in batches of 8 samples per run (2-3 runs per day). On average, 10%-20% of the blood cultures drawn on the presumption of bacteraemia yield bacterial pathogens. Previous data show that 13% of patients yield positive blood cultures. Thus, in order to collect blood samples of 100 new episodes of bacteraemia approximately 1000 patients (2000 blood cultures + 1000 EDTA tubes) have to be collected for each system (2000 patients in total). The results of the systems will be used to evaluate the clinical utility of the system regarding time to antibiotic treatment change and bacteraemia management. The system will be used directly for the diagnosis of patients, resulting in a possible change of treatment strategy. However, routine blood culture practices will still be done during the whole study period."
sepsis,"Though maternal and neonatal health are high priority areas for international development, maternal and neonatal mortality remain unacceptably high. Worldwide there are 1 million maternal and 4 million neonatal deaths every year and half of them occur in sub-Saharan Africa.||Post-partum and neonatal severe bacterial infections, namely sepsis, are leading causes of maternal and neonatal deaths in sub-Saharan Africa. Newborns can be infected during labour - when passing through the birth canal - and also during the first days/weeks of life, as a consequence of the close physical contact with the mother, when the latter carriers bacteria. As the mother is an important source of bacterial transmission to the newborn, treating mothers with antibiotics during labour should decrease their bacterial carriage and therefore lower transmission to the newborn. As carriage is a necessary step towards severe disease, this intervention should in turn result in the lower occurrence of severe bacterial disease and mortality during the neonatal period.||In many high-income countries, pregnant women are screened during pregnancy for vaginal carriage of Group B Streptococcus, the bacteria responsible for the vast majority of neonatal sepsis in the developed world. If women are carriers, they are treated with intravenous antibiotics during labour to decrease the risk of severe disease to their off-spring. Although this intervention has been successful in developed countries, infrastructure and resource limitations in regions like sub-Saharan Africa prevent both screening and use of intravenous antibiotics. Also, in Africa several bacterial pathogens are responsible for neonatal sepsis and the antibiotics needed in the continent should cover a wider number of bacteria; and ideally cover also bacteria responsible for severe post-partum disease in the mother.||We will conduct a large trial in West Africa, The Gambia and Burkina Faso, with the main objective of determining if a single dose of an oral antibiotic given to women during labour decreases newborn mortality. The trial will also assess the effect of the antibiotic on lowering newborns and maternal hospitalization during the first week's post-partum. We have selected an antibiotic (azithromycin) that in sub-Saharan Africa has already been used for elimination of other prevalent diseases such as trachoma. This antibiotic is safe, requires a single oral administration, has no special storage requirements and has the potential to eliminate most of the bacteria commonly causing severe disease in newborns and post-partum women in the continent. Very important this antibiotic is not widely used in clinical care in the continent, and therefore, any temporal increase of resistance induced by the intervention should not have implications on current treatment guidelines.||Before going to the large trial proposed here (12,000 women to be recruited), we have generated robust preliminary data on the effect of the intervention in a proof-of-concept trial conducted in The Gambia (829 women and their offspring recruited). We found that in fact, babies born from mothers who had taken this antibiotic during labour were less likely to carry bacteria that can potentially cause severe disease. These babies were also three times less likely to have bacterial skin infections or umbilical infections, both highly common among African newborns. Besides, fever or mastitis (again both very common in the region) during the post-partum period were four times lower among mothers who had taken the antibiotic during labour. Such trial confirmed our hypothesis of impact on bacterial transmission but it was too small to assess the effect of the antibiotic on mortality and hospitalizations. The preliminary trial also showed that women from the azithromycin group were less likely to need antibiotics for treatment infections during the puerperal period, decreasing then the pressure on the scarcity of antibiotics available in the continent.||The advantages of our approach are its simplicity, low cost and the possibility of protecting both mothers and babies with the same intervention."
sepsis,"Severe bacterial infections affecting multiple body organs, called severe sepsis (including meningococcal sepsis), remain an important cause of death and disability among children. Although early recognition, powerful antibiotics, and good intensive care have improved outcome, we need new ways to further reduce the number of deaths. Research in adults has shown that steroid replacement therapy might be useful. However, children are known to respond differently to adults and a definitive trial in children is needed because of the potentially harmful as well as beneficial effects of steroids.||This pilot study will provide the necessary information to allow the rational design of a large trial conducted at multiple hospitals investigating the role of corticosteroid replacement therapy in childhood sepsis. The study will provide information on how to measure the effects of steroids, information on length of therapy and a better understanding of how steroids work in children. The results emerging from this study will ultimately allow paediatric intensive care clinicians to know whether or not steroids are safe and/or useful.||The primary objective of this open-label study is therefore to gather clinical and laboratory data with which to inform the design of a large phase 3 double blind randomised controlled trial (RCT). The study will provide basic limited safety data, information on length of therapy and an assessment of possible clinical and laboratory endpoints to be used in addition to mortality.||Definition of sepsis:||Presence of a documented infection (eg clinical evidence of pneumonia, skin or soft tissue infection, purpura fulminans, urinary tract infection, abdominal infection) or a diagnostic positive blood culture (community or hospital acquired) within the last 72 hours and at least two of the following, one of which must be abnormal temperature or leucocyte count[3] core temperature of >38.5°C or <36°C; tachycardia (mean heart rate >2 SD above normal for age); mean respiratory rate > 2 SD above normal for age; leucocyte count elevated or depressed for age.||Definition of severe sepsis:||Sepsis plus cardiovascular organ dysfunction (the need for at least 5mcg/kg/min dopamine or dobutamine, or any amount of adrenaline or noradrenaline support), acute respiratory distress syndrome (ARDS), or 2 or more other organ dysfunctions."
sepsis,"Sepsis is a constant concern in ICU, frequent and severe, it requires early diagnosis and prompt implementation of the etiological treatment. The bacterial infections are the most common and are associated with high morbidity and mortality. Diagnosis is based on the detection of micro-organisms (bacteria) that can confirm the diagnosis and to tailor antibiotic treatments. Blood cultures are positive in 30-35% of cases and diagnosis is often based on a body of evidence that the use of biomarkers. No biomarkers (or even a combination of biomarkers) no evidence to confirm or refute the diagnosis of sepsis alone. During sepsis, gram + and gram - are circulating and often present in small amounts; they can be detected by sensitive and specific tools following a pretreatment of the blood sample (innovative technology Bacti-DIAG).||The main objective of the multicentre study Bacti-DIAG-Rea is testing in prospectively, in a suspicious population resuscitation of sepsis, this new bacterial biomarker. Secondary objectives will assess whether Bacti-DIAG provides time and precision gain (gram + vs grams) in the patient's care including diagnosis and treatment.||All ICU patients and with clinical criteria of Systemic Inflammatory Response Syndrome (SIRS) sepsis suspects will be included: in addition to the samples taken for routine care of the patient 4 tubes of whole blood will be collected 5mL. The definitive diagnosis of sepsis or SIRS be confirmed retrospectively by two independent experts blinded to Bacti-DIAG. The areas under the ROC curves for the detection of gram + and gram will be calculated and associated detection limits will be determined to meet the objectives of the study.||It is planned to include 400 consecutive patients with SIRS criteria for sepsis 300-360 and analyze biometric and biological data based on the subsequent evolution of the patients. The care of patients will be blinded to the results of the new biomarker Bacti-DIAG"
sepsis,"The purpose of the study is to evaluate the role of antibiotics in preventing infection in babies born through meconium stained amniotic fluid. Normally babies do not pass meconium while in utero. In response to hypoxic stress babies may pass meconium before birth and are likely to be candidates for problems related to meconium passage and its inhalation. It is believed that these babies are more prone to infections as meconium enhances bacterial growth and may predispose such babies to secondary bacterial infections. In addition, meconium passage has been incriminated as a pointer of in-utero infection. Whether use of antibiotics in babies born through meconium stained amniotic fluid will reduce the infectious episodes and complications thereof or not is not clear. Moreover, there is not much published literature to prove or refute the same. Most clinicians have a low threshold for using antibiotics in such babies. In view of the uncertainty regarding antibiotic usage in these babies, the investigators decided to investigate the role of prophylactic antibiotics in prevention of neonatal sepsis in babies born through meconium stained amniotic fluid."
sepsis,"The purpose of this study was to evaluate the safety of a probiotic foodstuff and its influence on emergence and development of natural intestinal flora and the clinical status of premature very low birth weight neonates. The study was also intended to investigate reduction of colonisation by pathogenic bacteria and to estimate the incidence of gastrointestinal disorders.||Probotic bacteria contained in the investigational product administered directly after birth are beneficial for the development of normal gut microflora and can prevent or significantly limit gastrointestinal colonisation by pathogenic bacteria and the development of pathogenic flora in a hospital setting. Permanent colonisation with commensal flora in very early life improves gastrointestinal function in premature neonates by reducing the onset of or by decreasing the severity of the signs and symptoms of feeding intolerance and generalised bacterial infections, including sepsis and necrotizing enterocolitis."
sepsis,The impact of continuous veno-venous haemofiltration (CVVH) on sepsis-induced multiple organ failure severity is controversial. We thus sought to assess the effect of early application of haemofiltration on the degree of organ dysfunction and plasma cytokine levels in patients with severe sepsis or septic shock.
sepsis,"The objective is to compare the timeliness of anchor antibiotic administration in the emergency department (ED) after initial dosing with and without a Best Practice Alert in Epic (BPA) implemented to remind physicians to re-order the antibiotic.||We hypothesize that post-BPA implementation, physicians will have a higher rate of ordering subsequent doses of antibiotics on-time and with the correct dosages compared to pre-BPA implementation."
sepsis,We design a randomized trial to clarify the necessity of antibiotic prophylaxis for the patients chronic liver disease with gastric varices treated by elective GVO.
sepsis,"The proposed work will provide critical insights into the potential impact of a biomarker-based algorithm on reducing unnecessary antibiotic use in different adult and pediatric/neonatal ICU's. This proposal will also assess the costs (or savings) of a biomarker-based intervention. Overall, the results of this work will be critical in informing future strategies to eliminate unnecessary antibiotic use and curb the continued rise in antimicrobial resistance."
sepsis,"The duration of antibiotic (ATB) therapy in late onset sepsis (LOS) of the neonate is currently not based on scientific data. The current PROABIS trial will study the use of a biological marker, procalcitonin (PCT), to guide ATB therapy duration in neonates with LOS.||Our hypothesis is that the use of procalcitonin guidance can reduce of 30% the duration of ATB treatment without increasing recurrence of infection and mortality."
sepsis,The purpose of this study is to evaluate the treatment outcomes in patients with CRE infections.
covid,"As the world faces COVID-19, the search for effective treatments against the disease and its complications has turned its gaze to drugs that are classically used in other infectious diseases. Some drugs are being examined for the recent evidence on its effects on viral replication and inflammation, one is Azithromycin, used to treat a wide variety of bacterial infections, Ivermectin, an anti-parasitic drug and the other is Cholecalciferol to increase serum concentration of 25-hydroxyvitamin D."
covid,"Gut dysbiosis co-exists in patients with coronavirus pneumonia. Some of these patients would develop secondary bacterial infections and antibiotic-associated diarrhea (AAD). The recent study on using washed microbiota transplantation (WMT) as rescue therapy in critically ill patients with AAD demonstrated the important clinical benefits and safety of WMT. This clinical trial aims to evaluate the outcome of WMT combining with standard therapy for patients with 2019-novel coronavirus pneumonia, especially for those patients with dysbiosis-related conditions."
covid,"Thymalfasin (thymosin alpha 1 or Ta1), the active pharmaceutical ingredient in ZADAXIN® injection, is a 28-amino acid synthetic peptide, identical to natural Ta1 produced by the thymus gland. Ta1 is a biological response modifier which activates various cells of the immune system, and is therefore expected to have clinical benefits in disorders where immune responses are impaired or ineffective, including acute and chronic viral and bacterial infections, cancers, and vaccine non-responsiveness. Patients with end-stage renal disease (ESRD) on hemodialysis, in addition to their intrinsic kidney disease and frequent burden of comorbidities, also have increased risk of exposure to communicable diseases as they are treated several times each week at hemodialysis centers with several other patients and clinic staff in attendance. The majority of patients are over 60 years of age and many are receiving immunosuppressive medications. Accordingly, ESRD patients are particularly susceptible to COVID-19 infection. Ta1 has been shown to be safely administered to hemodialysis patients. It is our hypothesis that a course of Ta1 administered to individuals with ESRD will reduce the rate and severity of infection with COVID-19."
covid,"Pneumonia caused by coronavirus infection COVID-19 is characterized by a combination of several dangerous factors that consistently worsen the patient's condition: viral lung damage early in the disease; a sharp increase in inflammation on the background of an unbalanced immune response (""cytokine storm""); joining a bacterial infection.||The condition of patients deteriorates significantly mostly at cytokine storm development. The damaging of a large volume of lung tissue leads to develops of respiratory failure, respiratory distress syndrome, or shock. Ventilatory support becomes ineffective and patients die.||There are reports of the effectiveness of Human Normal Immunoglobulin for Intravenous Administration (IVIG) high doses when used as part of complex therapy in patients with pneumonia caused by coronavirus COVID-19. In particular, IVIG has a positive effect on survival rates, overall disease course, duration of stay in the intensive care unit, and ventilatory support duration.||The probable mechanism of action of high-dose IVIG therapy is considered to be a regulatory effect on the immune system. Similar is the known and confirmed effectiveness of IVIG for autoimmune diseases (Kavasaky disease, Guillain Barre syndrome, Chronic inflammatory demyelinating polyradiculoneuropathy, Multifocal motor neuropathy).||This trial to assesses the Efficacy of IVIG (medication trade name - Bioven, manufactured by Biopharma Plasma LLC) in the High Immunomodulatory Dose in Complex Treatment of Severe Pneumonia Caused by COVID-19 / SARS-CoV-2"
covid,"COVID 19 which started from a zoonotic transmission related to crowded markets was confirmed to have a high potential for transmission to close contacts on 20 January 2020 by the National Health Commission of China and it was announced as a pandemic by the WHO on 11 March 2020.||There is currently no clinically proven specific antiviral agent available for SARS-CoV-2 infection. Supportive treatment, including oxygen therapy, conservation fluid management, and broad-spectrum antibiotics to cover secondary bacterial infection, remains the most important management strategy.||Interestingly, sofosbuvir has recently been proposed as an antiviral for the SARS-CoV-2 based on the similarity between the replication mechanisms of the HCV and the coronaviruses.||Aim of our study is to assess the safety and efficacy of of the addition of HCV treatment to the standard regimen for the treatment of patients according to MOHP protocol."
covid,"COVID 19, which probably started from zoonotic transmission related to crowded markets in China was announced as a pandemic by the WHO on 11 March 2020.||There is currently no clinically proven specific antiviral agents available for SARS-CoV-2 infection. Supportive treatment, including oxygen therapy, fluid management, and broad-spectrum antibiotics to cover secondary bacterial infection, remains the most important management strategy.||Since its discovery, lactoferrin and its related peptides are considered non-specific host defense molecules against a broad range of viruses including SARS-CoV, which is closely related to SARS-CoV-2 that causes COVID-19. Besides reducing viral entry, lactoferrin can also suppress virus replication after the viral entry and has an immunomodulatory effect that can prevent the cytokine storm associated with COVID-19.||The aim of our study is to assess the safety and efficacy of lactoferrin within the context of SARS-CoV-2 and propose the possibility of supplemental lactoferrin as a potential preventive drug for healthcare workers exposed to SARS-CoV-2."
covid,"COVID 19 which started from a zoonotic transmission related to crowded markets was confirmed to have a high potential for transmission to close contacts on 20 January 2020 by the National Health Commission of China and it was announced as a pandemic by the WHO on 11 March 2020.||There is currently no clinically proven specific antiviral agent available for SARS-CoV-2 infection. Supportive treatment, including oxygen therapy, conservation fluid management, and broad-spectrum antibiotics to cover secondary bacterial infection, remains the most important management strategy.||Interestingly, sofosbuvir has recently been proposed as an antiviral for the SARS-CoV-2 based on the similarity between the replication mechanisms of the HCV and the coronaviruses.||Aim of the study is to assess the safety and efficacy of of the addition of HCV treatment to the standard regimen for the treatment of patients who are candidates to receive Hydroxy Chloroquine according to Egyptian MOHP protocol"
covid,"On 31 December 2019, the World Health Organization (WHO) was formally notified about a cluster of cases of pneumonia in Wuhan City, China. On 7 January the responsible virus was isolated and its genome sequence was shared on 12 January. It was named as COVID-19, a novel Coronavirus, SARS-CoV-2. It is a member of the Corona virus family which is RNA enveloped viruses.||Very rapidly the virus emerged as pandemic. Now it is dominating the lives of every people of this universe. Management of the COVID-19 relies on mainly supportive care and oxygen supplementation via non-invasive or mechanical ventilation in critical cases. Patients who are critically ill may also require vasopressor support and antibiotics for secondary bacterial infections.||There is no vaccine or highly effective antiviral drugs for COVID-19. Currently there is a tremendous effort around the world to develop effective preventive and therapeutic treatment for this disease.||World Health Organization has launched a non-blinded clinical trial (SOLIDARITY) to evaluate four candidate treatments (remdesivir, lopinavir/ritonavir, lopinavir/ritonavir/ interferon beta-1a, and chloroquine or hydroxychloroquine) versus standard of care in 18 countries worldwide. RECOVERY trial one of the largest trials to see the efficacy and safety of hydroxychloroquine revealed that they are no clear cut clinical benefit for COVID-19. Other drugs in the SOLIDARTY trial are quite expansive for resource limited countries like Bangladesh.||Study Published in the American Journal of Tropical Medicine advocates further research into Ivermectin for COVID-19 Treatment. The spotlight on Ivermectin was brought by Australian researchers from Monash University who demonstrated its efficacy against the SARS-CoV-2 coronavirus in vitro studies.||In different study Doxycycline also showed promising results in treatment of COVID 19 infection. It is highly lipophilic antibiotics that are known to chelate zinc component of matrix metalloprotienases (MMP). Corona viruses are known to rely heavily of MMPs for survival, cell infiltration and replication. It also has an anti-inflammatory effect which might be effective in combating cytokine storm of Covid-19 infection.||So it have been planned to conduct an experimental clinical trial using combination of ivermectin and doxycycline for treatment of COVID 19 along with the other standard care."
covid,"COVID-19's high mortality may be driven by hyperinflammation. Interleukin-6 (IL-6) axis therapies may reduce COVID-19 mortality. Retrospective analyses of tocilizumab in severe to critical COVID-19 patients have demonstrated survival advantage and lower likelihood of requiring invasive ventilation following tocilizumab administration. The majority of patients have rapid resolution (i.e., within 24-72 hours following administration) of both clinical and biochemical signs (fever and CRP, respectively) of hyperinflammation with only a single tocilizumab dose.||The investigators hypothesized that a dose of tocilizumab significantly lower than the EMA- and FDA-labeled dose (8mg/kg) as well as the emerging standard of care dose (400mg) may be effective in patients with COVID-19 pneumonitis and hyperinflammation. Advantages to the lower dose of tocilizumab may include lower likelihood of secondary bacterial infections as well as extension of this drug's limited supply. The investigators conducted an adaptive single-arm phase 2 trial (NCT04331795) evaluating clinical and biochemical response to low-dose tocilizumab in patients with COVID-19 pneumonitis and hyperinflammation.||This multi-center, prospective, randomized controlled phase 2 trial -- designed as two sub-studies to allow for the possible emergence of data demonstrating the clinical efficacy of tocilizumab 8mg/kg or 400mg -- formally tests the clinical efficacy of low-dose tocilizumab in COVID-19 pneumonia.||Sub-Study A Primary Objective A: To establish whether low-dose tocilizumab reduces the time to clinical recovery in patients with COVID-19 pneumonitis and hyperinflammation, when compared to a tocilizumab-free standard of care.||Hypothesis A: The investigators hypothesize that low-dose tocilizumab, when compared to a tocilizumab-free standard of care, decreases the time to recovery in hospitalized, non-invasively ventilated patients with COVID-19 pneumonitis and hyperinflammation by three days or more.||Sub-Study B Primary Objective B: To establish whether low-dose tocilizumab is near-equivalent to high-dose tocilizumab (400mg or 8 mg/kg) in reducing the time to clinical recovery in patients with COVID-19 pneumonitis and hyperinflammation.||Hypothesis B: The investigators hypothesize that low-dose tocilizumab is near-equivalent to high-dose tocilizumab in reducing the time to clinical recovery in hospitalized, non-invasively ventilated patients with COVID-19 pneumonitis and hyperinflammation."
covid,"Phase 1 safety study to determine the tolerability, clinical effects, and changes in laboratory parameters of short course oral or IV cyclosporine (CSA) administration in patients with COVID-19 disease requiring oxygen supplementation but not requiring ventilator support."
covid,"Coronavirus Disease 19 (COVID-19) is a global pandemic caused by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2). Severe disease occurs in 15% of the cases with COVID-19 and may progress to critical disease in only 5% of the cases with a high risk of mortality. Critical disease may present as acute respiratory failure secondary to Acute Respiratory Distress Syndrome (ARDS) and is caused by the body's hyper-immune response to the virus in the form of a cytokine storm syndrome (CSS). There is currently no effective anti-viral treatment against SARS-CoV-2 and the mainstay of treatment is supportive. Co-trimoxazole (combination of trimethoprim and sulphamethoxazole in a 1:5) ratio is a Sulphur containing anti-folate bactericidal antibiotic indicated for the treatment of respiratory tract infections. It has been around for over 60 years and is inexpensive and readily available with a good safety profile. It has a rapid onset of action with excellent bioavailability and lung penetration. In addition to having antimicrobial properties co-trimoxazole have immunomodulatory and anti-inflammatory properties and may be a potential treatment option for cytokine storm syndrome mediated severe COVID-19.||This open-label randomized controlled trial will be conducted in the department of medicine at Bangabandhu Sheikh Mujib Medical University (BSMMU), Anwar Khan Modern Medical college and Mughda Medical College Hospital (DMCH), Dhaka for a duration of 6 months following approval of this protocol. It will recruit at least 94 consecutive adults (18 years or older) patients with clinically suspected COVID-19 and severe illness as per WHO criteria. After taking informed written consent patients will be randomly assigned in a 1:1 ratio to either oral co-trimoxazole in addition to standard therapy or standard therapy alone. Baseline characteristics, changes in the physiological and biochemical parameters like (SpO2/FiO2 ratio, respiratory rate, body temperature and C - reactive protein), length of hospital stay, side effects of drugs, requirement for ventilatory support (non-invasive and invasive ventilation) and in-patient mortality between the two groups will be compared.||Conclusion If the results from this clinical trial demonstrate the beneficial effects of co-trimoxazole in severe COVID-19 patients it could be used widely, thereby reducing the need for respiratory support and potentially saving thousands of lives in developing nations with limited resources where healthcare may be easily overwhelmed."
covid,"Coronavirus Disease 19 (COVID-19) is a worldwide pandemic and a major global health concern which is caused by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2). The newly emerged Coronavirus disease 2019 (COVID-19), which was first identified in Wuhan, China, has swept through 219 countries, killing a staggering number of people. According to WHO reports, the number of deaths had risen to 3,155,168by March 30, 2021, out of 149,910,744 confirmed cases. In Bangladesh, the outbreak has infected over 745,322confirmed cases, with over 11,053 deaths reported. Though the patient may be asymptomatic or present with mild symptoms, mortality is quite high in the severe form of the disease which often progresses to critical phase presented as Acute Respiratory Distress Syndrome (ARDS). This is due to exaggerated response of immune system to the virus termed as cytokine storm syndrome (CSS). There is currently no effective antiviral therapy for SARS-CoV-2 and supportive care is the mainstay of therapy. As a result we are still searching for a better therapeutic agent which will help in treating Covid-19 cases in terms of mortality, morbidity, oxygen requirement, length of stay in hospital. Co-trimoxazole (composed of one-part Trimethoprim and five parts Sulfamethoxazole)is a sulphur containing anti-folate bactericidal drug which is being used for over 60 years for various indications esp. respiratory tract infections. It is known to have immunomodulatory and anti-inflammatory properties that may help to prevent progression to critical phase and cytokine storm syndrome in severe COVID-19 patients. It acts rapidly when given in high dose due to its better bioavailability and lung penetration. Low cost and a good safety profile can make it an ideal candidate for treatment of COVID -19 in a low resource country like Bangladesh.||Methods and materials:||This interventional double-blind place controlled randomized trial will be conducted in the department of medicine at Bangabandhu Sheikh Mujib Medical University (BSMMU) for a duration of 6 months following approval of this protocol. It will recruit at least 94 consecutive adults (18 years or older) patients with clinically suspected COVID-19 and severe illness as per WHO criteria. After taking informed written consent patients will be randomly assigned in a 1:1 ratio to either oral high dose co-trimoxazole in addition to standard therapy or placebo along with standard therapy. Baseline characteristics, changes in the physiological and biochemical parameters like (SpO2/FiO2 ratio, respiratory rate, body temperature and C - reactive protein), length of hospital stay, side effects of drugs, requirement for ventilatory support (non-invasive and invasive ventilation) and 28- day mortality between the two groups will be compared. Data will be collected from case record forms, anonymised and stored securely in a secure online web based portal. Statistical analysis will be performed using t-test or Mann -Whitney U test or Wilcoxon signed rank test for continuous variables and Chi- square test or Fisher's exact test for categorical variables. Survival will be assessed by the Kaplan-Meier method. Comparisons between two groups will be performed using the log-rank test. A p-value of < 0.05 will be considered to be significant. The statistical software SPSS version 25 will be used for the analysis.||Conclusion If the results from this clinical trial demonstrate the beneficial effects of high co-trimoxazole in patients with severe COVID-19 it could help to reduce the need for respiratory support for thousands of patients, saving valuable lives and decrease the burden of healthcare system in countries with limited resources."
covid,"Until the first half of April, Colombia has more than 2,800 infected cases and a hundred deaths as a result of COVID-19, with Antioquia being the third department with the highest number of cases. Official records indicate that, in Colombia, the first case was diagnosed on March 6, 2020, corresponding to a patient from Italy. However, in conversations with several infectologists and intensivists from Medellín, it was agreed that clinical cases similar to the clinical presentation that is now recognized as COVID-19 had arisen since the end of 2019 when it was still unknown to everyone. The previous suggests that the virus was already circulating in the country since before March 6, 2020. But at that moment, there were no tools to make a clinical identification, nor to diagnose it from the laboratory's point of view.||Considering as real the hypothesis that the infection has been circulating in the country since before the first official diagnosis, the question arises: Why does not the country still has the same healthcare and humanitarian chaos that countries such as Italy and Spain are suffering at this time? To answer this question may be that there are differences in vaccination rates with BCG (Bacille Calmette-Guérin or tuberculosis vaccine), which is significantly higher in Latin America compared to those in Europe. This finding could explain to some extent the situation in the country, since previous studies have shown the influence that this vaccine can have on the immune response against various other pathogens, including viruses.||Among the population at risk of infection, health-care workers due to their permanent contact with patients are the population group with the highest risk of contracting SARS-Cov-2 and developing COVID-19 in any of its clinical manifestations, and currently there are no vaccines or proven preventive interventions available to protect them.||For this reason, this research study aims to demonstrate whether the centennial vaccine against tuberculosis (BCG), a bacterial disease, can activate the human immune system in a broad way, allowing it to better combat the coronavirus that causes COVID-19 and, perhaps, prevents the complications that lead the patient to the intensive care unit and death.||In the future, and if these results are as expected, they may be the basis for undertaking a population vaccination campaign that improves clinical outcomes in the general population."
