OverallStatus,BriefSummary,Condition,HealthyVolunteers,DurationDays,InterventionType,Phase,Gender,DesignPrimaryPurpose,DesignInterventionModel,LocationCountry,DesignAllocation,EnrollmentCount,ArmNumber,AgeGroups,AdverseEffectsorDeath
Completed,"This study evaluated the safety and immunogenicity of 3 formulations of Hib-MenCY-TT vaccine compared to 2 control groups receiving licensed meningococcal serogroup C conjugate vaccine and/or licensed Hib conjugate vaccine administered at 2, 4, and 6 months of age. Antibody persistence and immune responses to polysaccharide vaccine boosters were additionally assessed at 11 to 14 months of age.",Haemophilus Influenzae Type b|Neisseria Meningitidis,Accept,348.0,Biological,Phase 2,All,Prevention,Parallel Assignment,Australia,Randomized,409.0,7,infants,22.0
Completed,"The purpose of this study is to better understand the anti-inflammatory benefits of two prescription medicines that are currently used to help people with cholesterol problems.||Fish oil, from eating certain kinds of fish and from supplement pills, has been used to help control cholesterol and reduce inflammation (the body's response to injury or sickness). Lovaza® is the brand name for prescription strength fish oil pills. In this study, we will be looking at how Lovaza® works to help reduce inflammation in healthy volunteers.||Tricor® is the brand name for prescription fenofibrate pills. Fenofibrate is a prescription medicine that many doctors give to people with high triglyceride (fat in the blood) levels. In this study, we will be looking at how Tricor® works to help reduce inflammation in healthy volunteers.||Endotoxin or lipopolysaccharide (LPS) is a small part of bacteria (that is no longer living) that can cause many of the effects similar to bacterial infections in humans. However, it can be administered in very small amounts to produce a mild immune response much the same as a 'flu' like illness. Within 1 ½ -3 hours after giving LPS by vein, a response consisting of fever, chills, headache, nausea and vomiting and generalized aches and pains will occur which lasts up to 6-8 hours. In addition to the flu like symptoms, the response causes temporary changes in cholesterol, triglycerides and blood sugar. Different people respond differently to LPS. We are using LPS in this study to bring on a temporary inflammatory response in the body and to compare the responses of people who receive Lovaza® or Tricor® to the responses of people who receive a placebo (pill that does not contain medicine).",Cardiovascular Disease,Accept,485.0,Drug,Not Applicable,All,Basic Science,Parallel Assignment,United States,Randomized,100.0,3,adults,0.0
Completed,"Alcoholic hepatitis is a syndrome of progressive inflammatory liver injury associated with long-term heavy intake of ethanol. The pathogenesis is not completely understood. Patients who are severely affected present with subacute onset of fever, hepatomegaly, leukocytosis, marked impairment of liver function (e.g., jaundice, coagulopathy), and manifestations of portal hypertension (e.g., ascites, hepatic encephalopathy, variceal hemorrhage). However, milder forms of alcoholic hepatitis often do not cause any symptoms.||Alcoholic hepatitis usually persists and progresses to cirrhosis if heavy alcohol use continues. If alcohol use ceases, alcoholic hepatitis resolves slowly over weeks to months, sometimes without permanent sequelae but often with residual cirrhosis.||F-652 is a recombinant fusion protein containing human interleukin 22 (IL-22) and human Immunoglobulin G2 (IgG2)-Fc produced in CHO cells in serum-free culture. F-652 under development is intended to treat patients with graft vs host disease (GvHD) after bone marrow transplantation, and acute alcoholic hepatitis (AAH), a severe form of alcoholic liver disease (ALD). Both GvHD and AAH are diseases with unmet medical need. The current investigational new drug (IND) application is to conduct a phase Ia clinical study in GvHD patients to evaluate the safety and pharmacokinetic profile, and biomarkers of F-652 treatment by intravenous infusion (IV).||IL-22 is a member of the IL-10 family of cytokines which control bacterial infection, homeostasis, and tissue repair. IL-22 may be used to treat patients with ALD because of its antioxidant, anti-apoptotic, anti-steatotic, anti-microbial, and proliferative effect that have been demonstrated in various experimental systems.",Alcoholic Hepatitis,No,880.0,Drug,Phase 1|Phase 2,All,Treatment,Sequential Assignment,United States,SingleArmNA,18.0,1,elderly-adults,1.0
Completed,"Cystic Fibrosis (CF) is caused by mutations in the cystic fibrosis transmembrane conductance regulator (CFTR) gene. The encoded protein, CFTR, is an epithelial chloride ion channel responsible for aiding in the regulation of salt and water absorption and secretion in various tissues. Although the disease affects multiple organs, the leading cause of mortality is the progressive loss of lung function. Obstruction of airways with thick mucus, chronic bacterial infection of the airways, and inflammatory response are all thought to play a role in causing lung damage. Through its function as a chloride channel, CFTR is believed to be integral in epithelial ion and water transport and hence, maintaining the normal hydration of lung secretions.||VX-770 (ivacaftor) is a potent and selective potentiator of wild-type, G551D, F508del, and R117H forms of human CFTR. Based on in vitro studies and pharmacologic, pharmacokinetic (PK), and safety profiles, VX-770 has been selected for clinical development as a possible treatment for patients with CF.||Hyperpolarized noble gas magnetic resonance imaging (HG-MRI) is a promising new means of assessing lung function by direct imaging of certain non-radioactive isotopes of an inert noble gas, such as helium or xenon. Through this technique, high-resolution 3-dimensional images of lung ventilation can be obtained in both pediatric and adult patients during a single short breath-hold following inhalation of the gas.||This is a 2-part study to evaluate the effect of VX-770 on hyperpolarized helium-3 magnetic resonance imaging (3He-MRI), and to evaluate the safety and efficacy of VX-770 in subjects aged 12 years and older with CF who have the G551D-CFTR mutation. Part A is a single-blind, placebo-controlled study that includes 4 weeks of VX-770 treatment and 4 weeks of placebo treatment. Part B is an open-label, 48 week study of long-term effect of VX 770 on hyperpolarized 3He-MRI.",Cystic Fibrosis,No,854.0,Drug,Phase 2,All,Treatment,Single Group Assignment,United States,Non-Randomized,13.0,2,elderly-childTeen,1.0
Completed,"Babies having heart surgery often have problems after surgery with their blood pressure and getting enough blood to their bodies. To treat this they require medicines to keep their blood pressure high enough to get blood to their bodies. The side effects of these medicines include fast heart rates and increasing the amount of work the heart has to do. Corticosteroids are made by the body and help to use the energy in the food people eat, control the chemicals in their blood and maintain their blood pressure. Corticosteroids made by the body may be decreased in patients that have major surgery. Corticosteroids help to increase blood pressure and can decrease the amount of blood pressure medicines a patient requires. Corticosteroids have been shown to increase blood pressure in patients with bacterial infections and in very small, premature babies but have only been studied in a few babies who have had heart surgery. The way corticosteroids work is unknown but may involve decreasing the body's response to being on a heart-lung machine or give steroids not being made by the patient.||Corticosteroids have been shown to be helpful in treating many diseases. The purpose of this study is to look at the effects of corticosteroids in babies who have had heart surgery and need blood pressure medicines in the intensive care unit after surgery. Our idea is that getting corticosteroids will allow us to decrease the amount of blood pressure medicines each patient needs and improve how they do after surgery. We also plan to do blood tests to help determine how the corticosteroids are working.||It will be randomly determined if the subject receives corticosteroids or salt water. The subject will receive a corticosteroid or salt water once a day for five days. Their vital signs will be monitored, especially blood pressure and their need for medicines to increase their blood pressure. Blood work will also be obtained to determine their body's ability to make steroids.","Cardiac Output, Low",No,2495.0,Drug,Phase 2,All,Treatment,Single Group Assignment,United States,Randomized,18.0,2,infants,1.0
Completed,This randomized phase III trial studies how well levofloxacin works in preventing infection in young patients with acute leukemia receiving chemotherapy or undergoing stem cell transplant. Giving antibiotics may be effective in preventing or controlling early infection in patients receiving chemotherapy or undergoing stem cell transplant for acute leukemia. It is not yet known whether levofloxacin is effective in preventing infection.,Acute Leukemias of Ambiguous Lineage|Bacterial Infection|Diarrhea|Fungal Infection|Musculoskeletal Complications|Neutropenia|Recurrent Childhood Acute Lymphoblastic Leukemia|Recurrent Childhood Acute Myeloid Leukemia|Secondary Acute Myeloid Leukemia|Untreated Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies,No,2100.0,Drug,Phase 3,All,Supportive Care,Parallel Assignment,"United States,Canada",Randomized,624.0,1,adults-infants,143.0
Completed,"To determine the pharmacokinetic profile and to evaluate the safety and tolerability of ascending multiple doses of tigecycline in patients aged 8 to 11 years with selected serious infections; complicated intra-abdominal infections (cIAI), complicated skin and skin structure infections (cSSSI), or community-acquired pneumonia (CAP).","Bacterial Infections|Intra-Abdominal Infection|Pneumonia, Bacterial|Skin Diseases, Bacterial|Skin Diseases, Infectious",No,640.0,Drug,Phase 2,All,Treatment,Single Group Assignment,"Ukraine,Mexico,Taiwan,United States,South Africa,Belgium",SingleArmNA,59.0,1,childTeen,3.0
Completed,"Summary for SCGAM-03: Clinical phase III study to monitor the safety, tolerability and efficacy of subcutaneous human immunoglobulin (Octanorm) in patients with primary immunodeficiency diseases who have completed the SCGAM-01 trial.||Summary for SCGAM-03 in Canada: Clinical phase III study to monitor the safety, tolerability and efficacy of subcutaneous human immunoglobulin (octanorm) in patients with primary immunodeficiency diseases, including (but not limited to) those who have completed the SCGAM-01 trial",Primary Immunodeficiency,No,1283.0,Drug,Phase 3,All,Treatment,Single Group Assignment,"United States,Canada",SingleArmNA,27.0,1,allAges,7.0
Completed,The purpose of this study is to assess the safety and tolerability of doripenem compared to imipenem in Ventilator-assisted pneumonia and complicated Intra-abdominal Infection. The study population will include hospitalized patients (or patients resident in a chronic health care facility) who have a diagnosis of either Ventilator associated pneumonia or complicated Intra-abdominal Infection.,"Pneumonia, Ventilator-Associated|Pneumonia, Bacterial|Pneumonia|Abdominal Abscess|Bacterial Infections",No,397.0,Drug,Phase 2,All,Treatment,Parallel Assignment,United States,Randomized,146.0,4,elderly-adults,38.0
Completed,"This study, as a post-marketing commitment to the Food and Drug Administration, is designed to detect the effect of raxibacumab on anthrax vaccine adsorbed (AVA) immunogenicity in a healthy volunteer population. This is a randomized, open-label, parallel group, two arm study to compare the immunogenicity of AVA at 4 weeks after the first AVA dose, when AVA is administered alone or concomitantly with raxibacumab. The study is planned to enroll approximately 30 to 534 subjects in up to 3 cohorts. The total duration of the study will be approximately 26 weeks. The dates reflect cohort 1.","Infections, Bacterial",Accept,833.0,"Biological,Drug",Phase 4,All,Treatment,Parallel Assignment,United States,Randomized,573.0,3,elderly-adults,10.0
Completed,"This study evaluated the safety and immunogenicity of 3 formulations of Hib-MenCY-TT vaccine and 1 formulation of Hib-MenC-TT vaccine compared to a control group receiving licensed meningococcal serogroup C conjugate vaccine, each administered at 2, 3, and 4 months of age. Antibody persistence and immune responses to booster vaccinations were additionally assessed at 12 to 18 months of age.",Haemophilus Influenzae Type b|Neisseria Meningitidis,Accept,290.0,Biological,Phase 2,All,Prevention,Parallel Assignment,"Germany,Belgium",Randomized,388.0,5,infants,8.0
Completed,"The objectives of this trial are the assessment of safety and efficacy of IgPro10 in patients with PID, and the assessment of tolerability of high infusion rates. To demonstrate safety, the number of infusions temporally associated with AEs, the rate, severity and relationship of all AEs and the vital sign changes during each infusion will be evaluated.",Agammaglobulinemia|IgG Deficiency|Common Variable Immunodeficiency,No,882.0,Drug,Phase 3,All,Treatment,Single Group Assignment,United States,SingleArmNA,55.0,1,allAges,11.0
Completed,"Several methods are available for use in the prevention of recurrent urinary tract infections (UTIs) over the past few decades. These methods include suppressive antibiotics, estrogen cream, methenamine hippurate, d-mannose, cranberry, probiotics, and vitamin C. Of these, the majority of the literature is in favor of use of suppressive antibiotics for preventing UTIs. However, this data is now about 10 years old. Increasing use of antibiotics over the years has lead to increased resistance of bacteria. In addition, long-term antibiotic use has several adverse effects, some life-threatening. There is recent literature evaluating the use of several of the alternatives to suppressive antibiotics with mixed results. A comparative study of the efficacy of methenamine hippurate to suppressive antibiotics is lacking in the current literature. Several early partly-randomized trials done with methenamine hippurate have shown promising results, but are only as recent as 1987. The primary objective of this prospective, randomized study is to determine whether there is a significant difference in the prevention of recurrent UTIs when given either methenamine hippurate or daily suppressive antibiotics. The secondary objective of this study is to determine how well patients are able to tolerate each of these medications and what adverse effects are observed in a given 1 year time period. The long-term goals of this study are to find an alternative to using suppressive antibiotics, potentially with a lower adverse effect profile and less of the dangers of long term antibiotic use. Finding an alternative to suppressive antibiotics would also tackle the issue of antibiotic resistance.","Urinary Tract Infections, Recurrent",Accept,1115.0,Drug,Phase 4,Female,Prevention,Parallel Assignment,United States,Randomized,92.0,2,elderly-adults,0.0
Completed,"This study will be conducted to determine if altered renal function affects the plasma pharmacokinetics of gepotidacin, which will inform if dosing recommendations based upon renal impairment are required. The objective of this study is to compare the pharmacokinetics of gepotidacin administered as a 750 milligram (mg) intravenous (IV) dose in normal healthy subjects compared with subjects with mild, moderate, and severe renal impairment, and with subjects with end stage renal disease (ESRD). This is a Phase I, nonrandomized, open-label, parallel-group, multi-center, multi-part study. In Part 1, up to 16 subjects with normal renal function will be matched to approximately 8 subjects with moderate renal impairment, and approximately 8 subjects with severe renal impairment and/or subjects with ESRD not on hemodialysis for a total of approximately 32 subjects. In Part 2 (optional), approximately 4 to 8 subjects with normal renal function (if enrolled), approximately 4 to 8 subjects with mild renal impairment, and approximately 4 to 8 subjects with ESRD on hemodialysis will be enrolled for a total of approximately 12 to 24 subjects. The duration from Screening to the Follow-up Visit will be approximately 44 days for Part 1 and approximately 50 days for Part 2.","Infections, Bacterial",Accept,356.0,Drug,Phase 1,All,Treatment,Parallel Assignment,United States,Non-Randomized,32.0,1,elderly-adults,0.0
Completed,"This is a pilot study. Maximum 30 subjects with a diabetic foot ulcer (DFU) or surgical foot wound will be consented in order to have 20 eligible subjects who will be enrolled and completed the study. Study duration will be three weeks. Patients will be consented and undergo debridement as standard of care at day 0. Ankle-Brachial Index (ABI), Monofilament Sensory Test and Vibration Perception Threshold(VPT) test will be performed only at day 0. Tissue samples will be taken at this visit during standard of care wound debridement and these tissue samples of the wound would normally be removed as part of routine debridement. These tissue samples of the wound will be used for gene expression and bacterial analysis(research). The patient will then receive topical oxygen therapy using the Transcutaneous O2 device (research) with moist wound dressings for 21 days. Moist wound dressings are used as standard of care. Treatment will be initiated during Screening/Baseline visit(day 0) after routine wound debridement, and patient will receive instructions for home use of the device. The patient will be seen for routine wound debridement at days 7, 14, and 21 with a study window of 5 days., Digital photos of the wound, and vascular evaluations (Transcutaneous oxygen measurements and Hyperspectral imaging. will be performed at each study visit(research). Tissue samples will be taken during standard of care wound debridement at every study visit. Results of the data analysis from this project will be used to inform the design of a larger randomized clinical trial.","Foot Ulcer, Diabetic",No,1684.0,Device,Not Applicable,All,Treatment,Single Group Assignment,United States,SingleArmNA,23.0,1,elderly-adults,1.0
Completed,"This is a phase 3, multicenter, prospective, randomized study of intravenous (IV) ceftolozane/tazobactam versus IV meropenem in the treatment of adult participants with either ventilator-associated bacterial pneumonia (VABP) or ventilated hospital-acquired bacterial pneumonia (HABP). The primary objective is to demonstrate the non-inferiority of ceftolozane/tazobactam versus meropenem in adult participants with ventilated nosocomial pneumonia (VNP) based on the difference in Day 28 all-cause mortality rates in the Intent-to-treat (ITT) population using a non-inferiority margin of 10%.",Healthcare-Associated Pneumonia|Ventilator-Associated Pneumonia|Lung Diseases,No,1373.0,Drug,Phase 3,All,Treatment,Parallel Assignment,United States,Randomized,726.0,2,elderly-adults,487.0
Completed,Serious infections caused by resistant bacteria are becoming more of a medical problem throughout the world. This study will measure how well TD-6424 (Telavancin) can control infections and whether the drug is safe to give to patients.,"Infections, Gram-positive Bacterial",No,213.0,Drug,Phase 2,All,Treatment,Parallel Assignment,United States,Randomized,201.0,2,elderly-adults,10.0
Terminated,The primary objective is to compare the effectiveness of treatment with Sulfamylon® solution as the initial topical moist dressing over meshed autografts following the initial graft procedure on preventing graft loss in a prospective cohort of subjects versus a historical control group in a non-inferiority trial.,Burns,No,2404.0,Drug,Phase 4,All,Treatment,Single Group Assignment,United States,Non-Randomized,220.0,2,allAges,36.0
Completed,The purpose of this study is to evaluate the efficacy and safety of miconazole plus hydrocortisone cream in the treatment of participants with vulvar candidiasis (yeast infection of the vulva).,Vulva; Candidiasis,No,151.0,Drug,Phase 4,Female,Treatment,Single Group Assignment,United States,SingleArmNA,115.0,1,adults,0.0
Completed,"The purpose of this study is to determine if there is a benefit to taking trimethoprim-sulfamethoxazole (TS) as prophylaxis among HIV positive adults who have viral load suppression and a good clinical response on anti-retroviral therapy (ART). If there is a benefit, then is it due to antimalarial or antibacterial properties.||The investigators hypothesize that there will be a long-term benefit on survival and disease control in the context of prophylaxis and that the benefit will largely be attributed to prevention of malaria. The main study hypothesis is that 1)TS and chloroquine (CQ) will decrease the rates of morbidity and mortality among adults after 6 or more months of ART and 2) CQ prophylaxis will be associated with more prolonged viral suppression and higher CD4 cell counts than TS prophylaxis or no prophylaxis.",HIV,No,2098.0,Drug,Not Applicable,All,Prevention,Factorial Assignment,Malawi,Randomized,1499.0,2,elderly-adults,311.0
Completed,"The purpose of this study is to assess the safety and efficacy of doripenem in participants with nosocomial pneumonia (inflammation of the lungs in which the lungs become heavy; pneumonia occurring at least 48 hours after hospital admission), complicated intra-abdominal (in belly) infections and complicated urinary tract infections (bladder infections).","Infection|Cross Infection|Bacterial Infections|Pneumonia, Ventilator-Associated|Intra-abdominal Infections|Urinary Tract Infections",No,395.0,Drug,Phase 4,All,Treatment,Parallel Assignment,Thailand,Non-Randomized,270.0,1,elderly-adults,90.0
Completed,The purpose of this study is to evaluate the safety and efficacy of repeated intravenous infusions of the study drug BT063 in patients with Systemic Lupus Erythematosus (SLE) compared with people who receive a placebo.,Systemic Lupus Erythematosus,No,758.0,Biological,Phase 2,All,Treatment,Parallel Assignment,"Belarus,Georgia,Serbia,Poland",Randomized,36.0,2,elderly-adults,2.0
Completed,The purpose of this clinical study was to compare the effectiveness of passive ultrasonic irrigation with that of traditional syringe irrigation on the removal of bacteria and endotoxin (lipopolysaccharide [LPS]) from root canals.,"Tooth, Nonvital",No,1065.0,Device,Not Applicable,All,Treatment,Factorial Assignment,United States,Randomized,66.0,2,elderly-adults,0.0
Completed,"The objective of this study is to assess the efficacy, tolerability, safety and pharmacokinetics of IgPro20 in patients with primary humoral immunodeficiency (PID).",Common Variable Immunodeficiency|X-linked Agammaglobulinemia|Autosomal Recessive Agammaglobulinemia,No,700.0,Biological,Phase 3,All,Treatment,Single Group Assignment,"Germany,Sweden,France,Poland,Romania,Italy,United Kingdom,Spain,Switzerland",Non-Randomized,51.0,1,allAges,5.0
Completed,The purpose of this study is to determine if antibiotics are required in the management of skin abscess following incision and drainage.,"Skin Diseases, Infectious",No,670.0,Drug,Phase 4,All,Treatment,Parallel Assignment,United States,Randomized,161.0,2,adults-infants,0.0
Completed,"GSK2140944 belongs to a novel structural class of antibiotics - Bacterial Type II Topoisomerase Inhibitors (BTI). This is a Phase II, randomized, two-part, multicenter study designed to select the optimal dose by further characterizing the safety, tolerability and PK of GSK 2140944 and by evaluating efficacy in subjects requiring in-patient medical care to treat their suspected or confirmed Gram-positive acute bacterial skin and skin structure infections (ABSSSI). The selected dose will be used in future studies.","Infections, Bacterial",No,462.0,Drug,Phase 2,All,Treatment,Parallel Assignment,United States,Randomized,126.0,2,elderly-adults,3.0
Completed,"This was a study of the safety and efficacy of ceftobiprole medocaril compared with intravenous (IV) standard-of-care cephalosporin treatment with or without vancomycin in pediatric patients with either hospital-acquired bacterial pneumonia (HAP) or community-acquired bacterial pneumonia (CAP) requiring hospitalization, and requiring intravenous (IV) antibiotic therapy.",Community-acquired Pneumonia (CAP)|Hospital-acquired Pneumonia (HAP),No,840.0,Drug,Phase 3,All,Treatment,Parallel Assignment,"Georgia,Romania,Hungary,Bulgaria",Randomized,138.0,2,childTeen-infants,9.0
Completed,The purpose of the study is to evaluate the safety and efficacy of ceftriaxone treatment in amyotrophic lateral sclerosis (ALS).,Amyotrophic Lateral Sclerosis|ALS,No,2315.0,"Other,Drug",Phase 3,All,Treatment,Parallel Assignment,"United States,Canada",Randomized,513.0,2,elderly-adults,401.0
Terminated,This single-dose trial will evaluate the efficacy of a novel ibuprofen formulation compared to placebo in patients with a fever due to an uncomplicated acute infection.,Infection,No,485.0,Drug,Phase 3,All,Treatment,Parallel Assignment,United States,Randomized,16.0,2,elderly-childTeen,0.0
Terminated,"The purpose of this study is to evaluate the effects of a single oral dose of delafloxacin versus a single intramuscular injection of ceftriaxone in subjects with uncomplicated cervical, urethral, rectal, or pharyngeal gonorrhea.",Gonorrhea,No,321.0,Drug,Phase 3,All,Treatment,Parallel Assignment,United States,Randomized,460.0,2,elderly-childTeen,1.0
Completed,This is a 52-month study (8 months preparation; 36 months to conduct the trial; 8 months data analyses and manuscript preparation) of a cluster randomized controlled trial (RCT) of an intervention to improve infection management for suspected UTIs and LRIs among residents with advanced dementia (N=480; N=240/arm) living in NHs (N=24; N=12/arm). The NH is the unit of randomization as the intervention must be delivered at the facility level to avoid contamination and because this is how it would be employed in the real-world. Analyses will be at the patient level.,"Dementia|Infection, Bacterial",No,877.0,Behavioral,Not Applicable,All,Health Services Research,Parallel Assignment,United States,Randomized,430.0,1,elderly-adults,184.0
Terminated,"multicenter, randomized, double blind study to describe the safety and efficacy of daptomycin (6 mg/kg q24h) with and without concomitant initial gentamicin combination therapy in the treatment of SAIE",Infective Endocarditis,No,999.0,Drug,Phase 4,All,Treatment,Parallel Assignment,United States,Randomized,24.0,2,elderly-adults,7.0
Completed,"The purpose of Study TOC110977 is to demonstrate clinical superiority of Retapamulin ointment, 1%, over placebo in patients with secondarily-infected traumatic lesions, which includes secondarily-infected lacerations, abrasions and sutured wounds. Subjects 2 months of age and older will be treated with topical retapamulin or placebo ointment twice daily for 5 days. The primary endpoint of this study is the clinical response at follow-up (Day 12-14; 7-9 days after the end of therapy) in the intent-to-treat clinical population.","Skin Infections, Bacterial",No,518.0,Drug,Phase 3,All,Treatment,Parallel Assignment,"Brazil,India,United States,South Africa,Argentina",Randomized,508.0,2,allAges,2.0
Completed,This study is designed to assess the safety and ability of BioThrax and AV7909 anthrax vaccines to generate an immune response in adults ≥ 66 years of age in stable health in comparison to adults 18-50 years of age in stable health.,Anthrax,Accept,579.0,"Biological,Drug",Phase 2,All,Prevention,Parallel Assignment,United States,Randomized,305.0,3,elderly-adults,11.0
Completed,"This is a multi-center, randomized, double-blind, placebo-controlled, superiority clinical trial will test the effectiveness of short (5-day) vs.standard (10-day) course therapy in children who are diagnosed with CAP and initially treated in outpatient clinics, urgent care facilities, and emergency departments. Primary objective is to compare the composite overall outcome (Desirability of Outcome Ranking, DOOR) among children 6-71 months of age with CAP assigned to a strategy of short course (5 days) vs standard course (10 days) outpatient beta-lactam therapy at Outcome Assessment Visit #1 (Study Day 8 +/- 2 days)",Pneumonia,No,1109.0,"Other,Drug",Phase 4,All,Treatment,Parallel Assignment,United States,Randomized,385.0,4,infants,0.0
Completed,"This study is designed to evaluate a potential mechanism by which a hyperactive immune response may contribute to death from SARS-CoV-2; by an excessive neutrophil-mediated deposition of cell-free DNA in neutrophil extracellular traps (NET). Excessive amounts of NETs can increase rigidity of mucus, clog airways, and be agents for the development of acute respiratory distress (Narasaraju et al., Am J Pathol. 2011). Many aspects of this pathway have been observed in severe SARS-CoV-2 (Zhang et al., Respiratory research. 2020). Dornase alfa (DNAse I; Pulmozyme (Genentech) is a nebulized drug that works by degrading cell-free DNA and thus promoting airway clearance and recovery. The investigators hypothesize that by thinning mucus and degrading these NETs further lung damage may be prevented and a reduction in time to recovery may occur. The two aims of the study are to see if inhaled/nebulized dornase alfa will improve clinical outcome measures in SARS-CoV-2 related acute respiratory distress syndrome (ARDS) and to see if dornase alfa reduces the amount of bronchoalveolar lavage and blood markers of NET activity.||The study will recruit patients who are on mechanical ventilation for respiratory failure related to SARS-CoV-2 positive infection and have ARDS based upon Berlin criteria.||The investigators aim to recruit 10-20 patients for this study.",SARS-CoV 2|ARDS,No,195.0,Drug,Phase 3,All,Treatment,Parallel Assignment,United States,Non-Randomized,30.0,1,elderly-adults,29.0
Terminated,"The purpose of this study is to evaluate the effects of nutritional supplementation with omega-9 ""olive-oil"" and omega-6 ""soybean oil"" based lipid emulsions in the Acute Respiratory Distress Syndrome (ARDS). The investigators hypothesize that these specific lipids in combination will immunomodulate the inflammatory reaction that occurs in the lungs of ARDS subjects. This concept is known as ""Pharmaconutrition."" These lipids will be given intravenously so as to assure administration and only as a supplement to enteral nutrition which all subjects will also receive. The omega-9 will be compared to the omega-6 formulation which is the only FDA approved formulation of use in the United States since its development in 1961 by Fresenius-Kabi, Bad Homburg, Germany. The investigators plan to perform a bronchoscopy with lavage within 24 hours of enrollment, begin the lipid administration and continue it for 96 hours after which time the investigators will repeat bronchoscopy with lavage to assess changes. The lipid administration will cease following the second bronchoscopy. The fluid obtained from lavage combined with serum samples obtained at the time of bronchoscopy will be analyzed for inflammatory mediators and cell counts. Clinical data tracing will include but not be limited to: ventilator days, nutritional status, ICU time, oxygenation and lung compliance, and 30-day mortality.",Acute Respiratory Distress Syndrome,No,884.0,Drug,Phase 2,All,Treatment,Parallel Assignment,United States,Randomized,14.0,2,elderly-adults,2.0
Completed,"The most common etiology of infection-related death or neurodevelopmental impairment in neonates with birthweight <750 g is invasive candidiasis. Over 70% of the premature neonates who develop invasive candidiasis will die or suffer severe, permanent neurologic impairment. Fluconazole has been commonly used off-label in the neonatal intensive care unit, but definitive recommendations for its use in the nursery have been hampered by the limited number of well-designed trials. In neonates weighing <750 g, appropriate dosing is not known, definitive safety and long-term follow up trials have not been completed, and there have not been well-powered trials conducted to establish the efficacy of the product using mortality as part of the primary endpoint. Three recent proof-of-concept studies suggest that fluconazole will be safe and effective, and a recently completed pharmacokinetic study is providing data to give preliminary dosing guidance. The next logical step in drug development is proposed by this research: to conduct a pivotal trial to determine the safety and efficacy of fluconazole in premature neonates with 2-year neurodevelopmental follow-up assessment.||362 neonates, with a birthweight <750g, were randomized at 33 US centers, to twice weekly fluconazole (6 mg/kg) or placebo for the first 6 weeks of life. The primary efficacy endpoint will be Candida-free survival at study day 49. The research will establish definitive dosing, safety, and efficacy of fluconazole; it will also provide critical information on the effects of fluconazole on neurodevelopmental impairment and antifungal resistance.||Potential Impact:||Approximately 17,000 neonates are born <750 grams each year in the United States. Over 5000 will die or develop invasive Candida infections. Demonstrating safety and efficacy of fluconazole in preterm neonates will improve the survivability and long term outcomes for these neonates.",Candidiasis,No,1612.0,Drug,Phase 3,All,Prevention,Parallel Assignment,United States,Randomized,362.0,2,infants,151.0
Completed,To demonstrate the safety and efficacy of adjunctive therapy with the Amikacin fosfomycin inhalation system (AFIS) versus aerosolized placebo to treat Gram-negative pneumonia in mechanically ventilated patients receiving IV antibiotics.,"Pneumonia, Bacterial",No,852.0,Drug,Phase 2,All,Treatment,Parallel Assignment,"France,Greece,United States,Spain,Hungary,Puerto Rico,Turkey",Randomized,143.0,2,elderly-adults,55.0
Completed,"This study will determine the safety, tolerability and efficacy of GSK1322322 verses Linezolid in subjects with Acute Bacterial Skin and Skin Structure Infection (ABSSSI).","Skin Infections, Bacterial",No,154.0,Drug,Phase 2,All,Treatment,Parallel Assignment,United States,Randomized,84.0,4,elderly-adults,2.0
Completed,The purpose of this study is to evaluate the effectiveness and safety of doripenem monohydrate in the treatment of patients with nosocomial (hospital-acquired) pneumonia.,"Pneumonia|Bacterial Pneumonia|Ventilator-Associated Pneumonia|Infections, Nosocomial",No,458.0,Drug,Phase 2,All,Treatment,Single Group Assignment,"Chile,Ukraine,India,France,Russian Federation,United States,Canada,Croatia,Argentina",SingleArmNA,185.0,1,elderly-adults,70.0
Completed,The purpose of this study was to use participant samples to simultaneously evaluate three nucleic acid amplification tests (NAATs) diagnostic platforms.,Neisseria Gonorrhoeae Infection|Chlamydia Trachomatis Infection|Sexually Transmitted Infections,Accept,336.0,Diagnostic Test,Not Applicable,All,Other,Single Group Assignment,United States,SingleArmNA,2767.0,3,elderly-adults,0.0
Completed,"This was a Phase 3 study containing a randomized open-label superiority cohort (Cohort 1) comparing the efficacy and safety of plazomicin with colistin when combined with a second antibiotic (either meropenem or tigecycline) in the treatment of patients with bloodstream infection (BSI), hospital acquired bacterial pneumonia (HABP), or ventilator-associated bacterial pneumonia (VABP) due to CRE. An additional cohort of patients with BSI, HABP, VABP, complicated urinary tract infection (cUTI), or acute pyelonephritis (AP) due to CRE, not eligible for inclusion in the other cohort, were enrolled into a single arm (Cohort 2) and treated with plazomicin-based therapy. Therapeutic drug management (TDM) was used to help ensure that plazomicin exposures lie within an acceptable range of the target mean steady-state area under the curve (AUC).",Bloodstream Infections (BSI) Due to CRE|Hospital-Acquired Bacterial Pneumonia (HABP) Due to CRE|Ventilator-Associated Bacterial Pneumonia (VABP) Due to CRE|Complicated Urinary Tract Infection (cUTI) Due to CRE|Acute Pyelonephritis (AP) Due to CRE,No,730.0,Drug,Phase 3,All,Treatment,Parallel Assignment,United States,Randomized,69.0,5,elderly-adults,79.0
