OverallStatus,HealthyVolunteers,DurationDays,Phase,Gender,DesignPrimaryPurpose,DesignInterventionModel,DesignAllocation,EnrollmentCount,ArmNumber,AgeGroups
Terminated,No,1004.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,44.0,2,elderly-adults
Terminated,No,303.0,Phase 1|Phase 2,Female,Treatment,Parallel Assignment,Randomized,8.0,2,elderly-adults
Terminated,No,304.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,50.0,2,elderly-adults
Terminated,No,184.0,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,2.0,1,elderly-adults
Terminated,No,1188.0,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,17.0,1,elderly-adults
Terminated,No,668.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,99.0,2,elderly-adults
Terminated,No,1948.0,Not Applicable,All,Prevention,Parallel Assignment,Randomized,25.0,2,elderly-adults
Terminated,No,1979.0,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,300.0,1,elderly-adults
Terminated,No,945.0,Not Applicable,All,Treatment,Parallel Assignment,Randomized,400.0,1,elderly-adults
Terminated,No,376.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,143.0,3,elderly-adults
Terminated,No,123.0,Phase 4,Female,Treatment,Parallel Assignment,Randomized,133.0,2,adults
Terminated,No,306.0,Phase 2,Female,Treatment,Parallel Assignment,Randomized,392.0,4,adults
Terminated,No,822.0,Phase 4,All,Prevention,Single Group Assignment,Non-Randomized,10.0,1,elderly-adults
Terminated,No,700.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,1200.0,2,elderly-adults
Terminated,No,1461.0,Phase 3,All,Treatment,Parallel Assignment,Non-Randomized,31.0,1,childTeen-infants
Terminated,No,1766.0,Phase 2,All,Supportive Care,Single Group Assignment,SingleArmNA,13.0,2,elderly-adults
Terminated,No,974.0,Phase 3,All,Treatment,Parallel Assignment,Non-Randomized,23.0,1,childTeen-infants
Terminated,No,668.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,30.0,2,infants
Terminated,No,184.0,Phase 4,All,Treatment,Single Group Assignment,Non-Randomized,6.0,2,elderly-adults
Terminated,No,482.0,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,43.0,1,elderly-adults
Terminated,No,2192.0,Not Applicable,All,Treatment,Single Group Assignment,SingleArmNA,11.0,1,elderly-adults
Terminated,No,62.0,Phase 2,All,Treatment,Single Group Assignment,Non-Randomized,2.0,2,allAges
Terminated,No,641.0,Not Applicable,All,Other,Parallel Assignment,Randomized,12.0,1,elderly-adults
Terminated,No,823.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,17.0,2,elderly-adults
Terminated,Accept,1418.0,Not Applicable,Female,Basic Science,Single Group Assignment,SingleArmNA,190.0,1,adults
Terminated,No,368.0,Phase 2|Phase 3,All,Treatment,Parallel Assignment,Randomized,1.0,3,adults-infants
Terminated,No,426.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,194.0,1,childTeen-infants
Terminated,No,1796.0,Not Applicable,All,Treatment,Parallel Assignment,Randomized,25.0,2,elderly-adults
Terminated,No,2069.0,Not Applicable,All,Other,Parallel Assignment,Randomized,975.0,1,allAges
Terminated,Accept,304.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,5.0,3,adults
Terminated,No,735.0,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,7.0,1,elderly-adults
Terminated,Accept,1778.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,9302.0,2,elderly-adults
Terminated,No,556.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,17.0,3,elderly-adults
Terminated,No,578.0,Phase 4,All,Prevention,Parallel Assignment,Randomized,76.0,2,elderly-adults
Terminated,No,1286.0,Phase 2,All,Prevention,Factorial Assignment,Randomized,2.0,1,elderly-adults
Terminated,No,365.0,Not Applicable,All,Treatment,Parallel Assignment,Randomized,30.0,1,elderly-adults
Terminated,No,942.0,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,8.0,1,elderly-adults
Terminated,Accept,888.0,Phase 2,All,Prevention,Parallel Assignment,Randomized,560.0,2,infants
Terminated,Accept,92.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,36.0,3,adults
Terminated,Accept,450.0,Phase 1,All,Treatment,Single Group Assignment,SingleArmNA,15.0,2,elderly-adults
Terminated,Accept,1338.0,Phase 2,All,Prevention,Parallel Assignment,Randomized,74.0,2,infants
Terminated,No,884.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,33.0,2,infants
Terminated,Accept,154.0,Not Applicable,All,Prevention,Parallel Assignment,Randomized,25.0,2,elderly-adults
Terminated,No,122.0,Phase 1,All,Prevention,Parallel Assignment,Randomized,1.0,2,elderly-adults
Terminated,No,1110.0,Not Applicable,All,Treatment,Parallel Assignment,Randomized,104.0,3,elderly-adults
Terminated,Accept,153.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,24.0,3,elderly-adults
Terminated,No,1188.0,Phase 2|Phase 3,All,Treatment,Parallel Assignment,Randomized,64.0,1,elderly-childTeen
Terminated,No,669.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,72.0,1,elderly-adults
Terminated,No,365.0,Phase 4,All,Prevention,Single Group Assignment,SingleArmNA,36.0,1,elderly-adults
Terminated,No,426.0,Phase 2,Male,Treatment,Single Group Assignment,SingleArmNA,20.0,1,elderly-adults
Terminated,No,1505.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,51.0,2,infants
Terminated,No,487.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,15.0,2,elderly-adults
Terminated,No,198.0,Phase 4,All,Diagnostic,Single Group Assignment,SingleArmNA,14.0,2,elderly-adults
Terminated,No,2661.0,Phase 2,All,Treatment,Single Group Assignment,SingleArmNA,2.0,9,adults
Terminated,No,1414.0,Phase 4,All,Prevention,Parallel Assignment,Randomized,65.0,2,elderly-adults
Terminated,No,640.0,Phase 3,Female,Treatment,Parallel Assignment,Randomized,87.0,3,elderly-adults
Terminated,No,456.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,7.0,5,adults-infants
Terminated,No,1345.0,Phase 2,All,Treatment,Sequential Assignment,SingleArmNA,13.0,1,elderly-adults
Terminated,No,1218.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,98.0,2,elderly-adults
Terminated,No,3624.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,228.0,1,elderly-childTeen
Terminated,No,511.0,Phase 1|Phase 2,All,Treatment,Parallel Assignment,Non-Randomized,5.0,2,elderly-adults
Terminated,No,823.0,Phase 1|Phase 2,All,Prevention,Parallel Assignment,Randomized,7.0,1,infants
Terminated,No,577.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,156.0,1,elderly-adults
Terminated,No,1218.0,Not Applicable,All,Diagnostic,Single Group Assignment,SingleArmNA,200.0,1,elderly-adults
Terminated,No,1446.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,71.0,9,elderly-adults
Terminated,Accept,1461.0,Phase 2|Phase 3,All,Treatment,Crossover Assignment,Randomized,81.0,2,elderly-adults
Terminated,No,1308.0,Phase 3,Female,Prevention,Parallel Assignment,Randomized,645.0,1,elderly-childTeen
Terminated,No,733.0,Phase 1|Phase 2,All,Treatment,Sequential Assignment,Randomized,10.0,2,elderly-adults
Terminated,No,544.0,Not Applicable,All,Prevention,Parallel Assignment,Randomized,90.0,1,adults-childTeen
Terminated,Accept,245.0,Phase 4,All,Prevention,Parallel Assignment,Randomized,720.0,3,infants
Terminated,No,433.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,16.0,2,elderly-adults
Terminated,No,670.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,44.0,2,elderly-adults
Terminated,Accept,1129.0,Phase 1,All,Other,Parallel Assignment,Randomized,2.0,4,adults
Terminated,No,1067.0,Not Applicable,All,Treatment,Parallel Assignment,Randomized,63.0,2,adults
Terminated,No,79.0,Phase 1|Phase 2,All,Treatment,Parallel Assignment,Randomized,2.0,3,elderly-adults
Terminated,No,244.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,5.0,1,elderly-adults
Terminated,No,785.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,92.0,3,elderly-adults
Terminated,No,639.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,3.0,7,elderly-adults
Terminated,No,2100.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,130.0,1,elderly-adults
Terminated,No,822.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,40.0,2,infants
Terminated,No,912.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,108.0,3,elderly-adults
Terminated,No,1919.0,Phase 4,All,Treatment,Single Group Assignment,Non-Randomized,9.0,1,elderly-adults
Terminated,Accept,353.0,Phase 2|Phase 3,All,Health Services Research,Parallel Assignment,Randomized,30.0,5,elderly-adults
Terminated,Accept,396.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,18.0,2,adults
Terminated,No,1064.0,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,9.0,1,elderly-adults
Terminated,Accept,878.0,Phase 2,All,Prevention,Parallel Assignment,Randomized,142.0,2,adults
Terminated,Accept,396.0,Phase 1,All,Prevention,Parallel Assignment,Non-Randomized,9.0,6,adults
Terminated,No,973.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,12.0,3,elderly-adults
Terminated,No,914.0,Phase 2,All,Prevention,Parallel Assignment,Randomized,92.0,2,elderly-adults
Terminated,No,299.0,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,50.0,1,elderly-adults
Terminated,Accept,1367.0,Phase 1,All,Treatment,Parallel Assignment,Randomized,27.0,2,adults
Terminated,No,2281.0,Phase 1,All,Treatment,Single Group Assignment,SingleArmNA,1.0,1,childTeen-infants
Terminated,No,998.0,Phase 2|Phase 3,All,Treatment,Parallel Assignment,Randomized,21.0,2,elderly-adults
Terminated,No,943.0,Not Applicable,All,Treatment,Parallel Assignment,Randomized,21.0,2,elderly-adults
Terminated,No,237.0,Phase 1,All,Treatment,Single Group Assignment,SingleArmNA,7.0,2,elderly-adults
Terminated,No,719.0,Phase 2|Phase 3,All,Treatment,Parallel Assignment,Randomized,97.0,2,childTeen-infants
Terminated,No,761.0,Phase 4,All,Treatment,Parallel Assignment,Non-Randomized,6.0,1,elderly-adults
Terminated,No,975.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,25.0,2,elderly-adults
Terminated,No,1673.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,43.0,5,elderly-adults
Terminated,No,1126.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,151.0,2,elderly-adults
Terminated,No,1096.0,Not Applicable,All,Treatment,Parallel Assignment,Randomized,53.0,1,childTeen-infants
Terminated,No,176.0,Phase 2|Phase 3,All,Treatment,Single Group Assignment,SingleArmNA,13.0,1,elderly-childTeen
Terminated,No,762.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,68.0,2,elderly-adults
Terminated,Accept,1916.0,Phase 2|Phase 3,All,Prevention,Parallel Assignment,Randomized,1354.0,3,infants
Terminated,No,696.0,Phase 2,All,Prevention,Parallel Assignment,Randomized,155.0,2,elderly-adults
Terminated,Accept,158.0,Phase 1,Male,Prevention,Single Group Assignment,SingleArmNA,3.0,1,adults
Terminated,No,797.0,Phase 1|Phase 2,All,Treatment,Parallel Assignment,Randomized,9.0,2,elderly-adults
Terminated,No,1369.0,Phase 4,All,Prevention,Parallel Assignment,Randomized,60.0,2,elderly-adults
Terminated,Accept,93.0,Phase 2,Male,Prevention,Sequential Assignment,Randomized,10.0,3,adults
Terminated,No,791.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,10.0,2,elderly-adults
Terminated,No,1126.0,Phase 4,All,Treatment,Single Group Assignment,SingleArmNA,21.0,1,childTeen-infants
Terminated,No,1228.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,121.0,5,elderly-adults
Terminated,No,973.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,10.0,3,elderly-adults
Terminated,No,470.0,Phase 2,All,Treatment,Parallel Assignment,Non-Randomized,14.0,2,elderly-adults
Terminated,No,577.0,Phase 4,All,Prevention,Parallel Assignment,Randomized,40.0,1,allAges
Terminated,Accept,31.0,Phase 2,All,Prevention,Parallel Assignment,Randomized,20.0,2,adults
Terminated,Accept,146.0,Phase 4,All,Prevention,Single Group Assignment,SingleArmNA,18.0,1,infants
Terminated,Accept,42.0,Not Applicable,Female,Diagnostic,Single Group Assignment,SingleArmNA,295.0,1,elderly-childTeen
Terminated,No,1613.0,Phase 3,Male,Treatment,Parallel Assignment,Randomized,64.0,2,allAges
Terminated,No,640.0,Not Applicable,All,Diagnostic,Single Group Assignment,SingleArmNA,218.0,1,elderly-adults
Terminated,Accept,850.0,Phase 3,Female,Prevention,Parallel Assignment,Randomized,2160.0,1,adults
Terminated,Accept,81.0,Phase 1,All,Treatment,Sequential Assignment,Randomized,32.0,2,adults
Terminated,No,365.0,Phase 3,All,Treatment,Parallel Assignment,Randomized,6.0,2,elderly-adults
Terminated,No,1491.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,47.0,7,adults-infants
Terminated,No,243.0,Phase 2,All,Prevention,Parallel Assignment,Randomized,46.0,5,infants
Terminated,Accept,31.0,Phase 2,All,Prevention,Single Group Assignment,SingleArmNA,20.0,1,adults
Terminated,Accept,122.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,61.0,2,elderly-childTeen
Terminated,No,971.0,Phase 2,All,Treatment,Parallel Assignment,Randomized,20.0,6,elderly-adults
Terminated,Accept,2556.0,Not Applicable,All,Prevention,Factorial Assignment,Non-Randomized,36502.0,1,adults-childTeen
Terminated,No,122.0,Phase 3,All,Treatment,Single Group Assignment,Non-Randomized,65.0,1,elderly-adults
Terminated,No,243.0,Phase 3,All,Prevention,Parallel Assignment,Randomized,99.0,2,elderly-adults
Terminated,No,549.0,Phase 4,All,Prevention,Single Group Assignment,Non-Randomized,51.0,1,infants
Terminated,No,303.0,Phase 4,All,Treatment,Parallel Assignment,Randomized,10.0,2,elderly-adults
